0x0F25 ART\ART_Gems\item_gem_Amber_0x0F25.bmp
0x0F61 ART\ART_Weapon\item_weapon_LongSwordBig_0x0F61.bmp
0x13B8 ART\ART_Weapon\item_weapon_LongSword_0x13B8.bmp
0x0F5C ART\ART_Weapon\item_weapon_Mace_0x0F5C.bmp
0x143B ART\ART_Weapon\item_weapon_Maul_0x143B.bmp
0x0E89 ART\ART_Weapon\item_weapon_QuarterStaff_0x0E89.bmp
0x13B6 ART\ART_Weapon\item_weapon_Scimatar_0x13B6.bmp
0x0EC4 ART\ART_Weapon\item_weapon_SkinningKnife_0x0EC4.bmp
0x1443 ART\ART_Weapon\item_weapon_TwoHandedAxe_0x1443.bmp
0x13B9 ART\ART_Weapon\item_weapon_VikingSword_0x13B9.bmp
0x13B0 ART\ART_Weapon\item_weapon_WarAxe_0x13B0.bmp
0x1439 ART\ART_Weapon\item_weapon_WarHammer_0x1439.bmp
0x1407 ART\ART_Weapon\item_weapon_WarMace_0x1407.bmp
0x26C2 ART\ART_WeaponArchery\item_weapon_BowComposite_0x26C2.bmp
0x27A5 ART\ART_WeaponArchery\item_weapon_BowYumi_0x27A5.bmp
0x13B2 ART\ART_WeaponArchery\item_weapon_Bow_0x13B2.bmp
0x13FD ART\ART_WeaponArchery\item_weapon_CrossbowHeavy_0x13FD.bmp
0x26C3 ART\ART_WeaponArchery\item_weapon_CrossbowRepeating_0x26C3.bmp
0x0F50 ART\ART_WeaponArchery\item_weapon_Crossbow_0x0F50.bmp
0x2D28 ART\ART_WeaponExpand\item_weapon_AxeCurved_0x2D28.bmp
0x0F4D ART\ART_WeaponExpand\item_weapon_Bardiche_0x0F4D.bmp
0x26BD ART\ART_WeaponExpand\item_weapon_BladedStaff_0x26BD.bmp
0x26BF ART\ART_WeaponExpand\item_weapon_DoubleBladedStaff_0x26BF.bmp
0x143E ART\ART_WeaponExpand\item_weapon_Halbred_0x143E.bmp
0x26BE ART\ART_WeaponExpand\item_weapon_Pike_0x26BE.bmp
0x0E87 ART\ART_WeaponExpand\item_weapon_Pitchfork_0x0E87.bmp
0x26BA ART\ART_WeaponExpand\item_weapon_Scythe_0x26BA.bmp
0x26BB ART\ART_WeaponExpand\item_weapon_Sickle_0x26BB.bmp
0x1403 ART\ART_WeaponExpand\item_weapon_SpearShort_0x1403.bmp
0x0F62 ART\ART_WeaponExpand\item_weapon_Spear_0x0F62.bmp
0x1405 ART\ART_WeaponExpand\item_weapon_WarFork_0x1405.bmp
0xB834 ART\ART_Vase\item_vase_large_0xB834.bmp
0xB835 ART\ART_Vase\item_vase_large_0xB835.bmp
0xB836 ART\ART_Vase\item_vase_large_0xB836.bmp
0xB837 ART\ART_Vase\item_vase_large_0xB837.bmp
0xB838 ART\ART_Vase\item_vase_large_0xB838.bmp
0xB839 ART\ART_Vase\item_vase_large_0xB839.bmp
0xACDC ART\ART_Creature\item_creature_CuSidheYoung_0xACDC.bmp
0x0DF2 ART\ART_Wand\item_wand_WandA_0x0DF2.bmp
0x0DF5 ART\ART_Wand\item_wand_WandD_0x0DF5.bmp
0x5010 ART\ART_Wand\item_wand_WandFireball_0x5010.bmp
0x500F ART\ART_Wand\item_wand_WandGreaterHeal_0x500F.bmp
0x0DF3 ART\ART_Wand\item_wand_WandHarm_0x0DF3.bmp
0x0DF4 ART\ART_Wand\item_wand_WandHeal_0x0DF4.bmp
0x5011 ART\ART_Wand\item_wand_WandLightning_0x5011.bmp
0x500E ART\ART_Wand\item_wand_WandManaDrain_0x500E.bmp
0x26BC ART\ART_Wand\item_wand_WandTribal_0x26BC.bmp
0x41BF ART\ART_Eggs\item_egg_LargeB_0x41BF.bmp
0x6BD3 ART\ART_Eggs\item_egg_Large_0x6BD3.bmp
0x6BD4 ART\ART_Eggs\item_egg_Large_0x6BD4.bmp
0x6BD5 ART\ART_Eggs\item_egg_Large_0x6BD5.bmp
0xA7AD ART\ART_Eggs\item_egg_Large_0xA7AD.bmp
0x41BE ART\ART_Eggs\item_egg_MediumB_0x41BE.bmp
0x6BD0 ART\ART_Eggs\item_egg_Medium_0x6BD0.bmp
0x6BD1 ART\ART_Eggs\item_egg_Medium_0x6BD1.bmp
0x6BD2 ART\ART_Eggs\item_egg_Medium_0x6BD2.bmp
0xA7AC ART\ART_Eggs\item_egg_Medium_0xA7AC.bmp
0xA7A9 ART\ART_Eggs\item_egg_NestEmpty_0xA7A9.bmp
0xBA53 ART\ART_Eggs\item_egg_NestLarge_0xBA53.bmp
0xBCE1 ART\ART_Eggs\item_egg_NestLarge_0xBCE1.bmp
0xA7A8 ART\ART_Eggs\item_egg_NestThree_0xA7A8.bmp
0x41BD ART\ART_Eggs\item_egg_SmallB_0x41BD.bmp
0x6BCD ART\ART_Eggs\item_egg_Small_0x6BCD.bmp
0x6BCE ART\ART_Eggs\item_egg_Small_0x6BCE.bmp
0x6BCF ART\ART_Eggs\item_egg_Small_0x6BCF.bmp
0xA7AB ART\ART_Eggs\item_egg_Small_0xA7AB.bmp
0x10D9 ART\ART_Eggs\item_egg_SpiderWeb_0x10D9.bmp
0xA7AA ART\ART_Eggs\item_egg_Three_0xA7AA.bmp
0x2A93 ART\ART_PowerSkillStone\item_rare_SkillStone_0x2A93.bmp
0x2A94 ART\ART_PowerSkillStone\item_rare_SkillStone_0x2A94.bmp
0x2A95 ART\ART_PowerSkillStone\item_rare_SkillStone_0x2A95.bmp
0x2A96 ART\ART_PowerSkillStone\item_rare_SkillStone_0x2A96.bmp
0x2A97 ART\ART_PowerSkillStone\item_rare_SkillStone_0x2A97.bmp
0x1F18 ART\ART_PowerChampionSpawn\item_rare_HarrowerSkull_0x1F18.bmp
0x1858 ART\ART_PowerChampionSpawn\item_rare_SkullCandle_L_A_0x1858.bmp
0x1859 ART\ART_PowerChampionSpawn\item_rare_SkullCandle_L_B_0x1859.bmp
0x185A ART\ART_PowerChampionSpawn\item_rare_SkullCandle_L_C_0x185A.bmp
0x1857 ART\ART_PowerChampionSpawn\item_rare_SkullCandle_L_off_0x1857.bmp
0x1854 ART\ART_PowerChampionSpawn\item_rare_SkullCandle_R_A_0x1854.bmp
0x1855 ART\ART_PowerChampionSpawn\item_rare_SkullCandle_R_B_0x1855.bmp
0x1856 ART\ART_PowerChampionSpawn\item_rare_SkullCandle_R_C_0x1856.bmp
0x1853 ART\ART_PowerChampionSpawn\item_rare_SkullCandle_R_off_0x1853.bmp
0x0CC9 ART\ART_Tree\item_tree_base_0x0CC9.bmp
0x0CCA ART\ART_Tree\item_tree_base_0x0CCA.bmp
0x0CCD ART\ART_Tree\item_tree_base_0x0CCD.bmp
0x0CCE ART\ART_Tree\item_tree_base_0x0CCE.bmp
0x0CCF ART\ART_Tree\item_tree_base_0x0CCF.bmp
0x0CD0 ART\ART_Tree\item_tree_base_0x0CD0.bmp
0x0CD1 ART\ART_Tree\item_tree_base_0x0CD1.bmp
0x0CD2 ART\ART_Tree\item_tree_base_0x0CD2.bmp
0x0CD3 ART\ART_Tree\item_tree_base_0x0CD3.bmp
0x0CD4 ART\ART_Tree\item_tree_base_0x0CD4.bmp
0x0CD5 ART\ART_Tree\item_tree_base_0x0CD5.bmp
0x0CDA ART\ART_Tree\item_tree_base_0x0CDA.bmp
0x0CDB ART\ART_Tree\item_tree_base_0x0CDB.bmp
0x0CDC ART\ART_Tree\item_tree_base_0x0CDC.bmp
0x0CDD ART\ART_Tree\item_tree_base_0x0CDD.bmp
0x0CDE ART\ART_Tree\item_tree_base_0x0CDE.bmp
0x0CDF ART\ART_Tree\item_tree_base_0x0CDF.bmp
0x0CE0 ART\ART_Tree\item_tree_base_0x0CE0.bmp
0x0CE1 ART\ART_Tree\item_tree_base_0x0CE1.bmp
0x0CE2 ART\ART_Tree\item_tree_base_0x0CE2.bmp
0x0CE3 ART\ART_Tree\item_tree_base_0x0CE3.bmp
0x0CE4 ART\ART_Tree\item_tree_base_0x0CE4.bmp
0x0CE5 ART\ART_Tree\item_tree_base_0x0CE5.bmp
0x0CE6 ART\ART_Tree\item_tree_base_0x0CE6.bmp
0x0CE7 ART\ART_Tree\item_tree_base_0x0CE7.bmp
0x0CE8 ART\ART_Tree\item_tree_base_0x0CE8.bmp
0x0CF8 ART\ART_Tree\item_tree_base_0x0CF8.bmp
0x0CFB ART\ART_Tree\item_tree_base_0x0CFB.bmp
0x0CFE ART\ART_Tree\item_tree_base_0x0CFE.bmp
0x0CFF ART\ART_Tree\item_tree_base_0x0CFF.bmp
0x0D01 ART\ART_Tree\item_tree_base_0x0D01.bmp
0x0D02 ART\ART_Tree\item_tree_base_0x0D02.bmp
0x0D96 ART\ART_Tree\item_tree_base_0x0D96.bmp
0x0DA1 ART\ART_Tree\item_tree_base_0x0DA1.bmp
0x478A ART\ART_Tree\item_tree_medium_gnarled_0x478A.bmp
0x0C9E ART\ART_Tree\item_tree_smallmulti_0x0C9E.bmp
0xB9D0 ART\ART_IconMastery\item_icon_47568_mushroom_0xB9D0.bmp
0xB9D1 ART\ART_IconMastery\item_icon_47569_SummonFey_0xB9D1.bmp
0xB9D2 ART\ART_IconMastery\item_icon_47570_bear_0xB9D2.bmp
0xB9D3 ART\ART_IconMastery\item_icon_47571_EssenceOfWind_0xB9D3.bmp
0xB9D4 ART\ART_IconMastery\item_icon_47572_SummonFiend_0xB9D4.bmp
0xB9D5 ART\ART_IconMastery\item_icon_47573_spiderweb_0xB9D5.bmp
0xB9D6 ART\ART_IconMastery\item_icon_47574_HeightenedSenses_0xB9D6.bmp
0xB9D7 ART\ART_IconMastery\item_icon_47575_ManaShield_0xB9D7.bmp
0xB9D8 ART\ART_IconMastery\item_icon_47576_Onslaught_0xB9D8.bmp
0xBD1D ART\ART_IconMastery\item_icon_48413_DeathRay_0xBD1D.bmp
0xBD1E ART\ART_IconMastery\item_icon_48414_EtherealBlast_0xBD1E.bmp
0xBD1F ART\ART_IconMastery\item_icon_48415_NetherBlast_0xBD1F.bmp
0xBD20 ART\ART_IconMastery\item_icon_48416_MysticWeapon_0xBD20.bmp
0xBD21 ART\ART_IconMastery\item_icon_48417_CommandUndead_0xBD21.bmp
0xBD22 ART\ART_IconMastery\item_icon_48418_FlamingShot_0xBD22.bmp
0xBD23 ART\ART_IconMastery\item_icon_48419_PlayingTheOdds_0xBD23.bmp
0xBD24 ART\ART_IconMastery\item_icon_48420_Thrust_0xBD24.bmp
0xBD25 ART\ART_IconMastery\item_icon_48421_Pierce_0xBD25.bmp
0xBD26 ART\ART_IconMastery\item_icon_48422_Stagger_0xBD26.bmp
0xBD27 ART\ART_IconMastery\item_icon_48423_Conduit_0xBD27.bmp
0xBD28 ART\ART_IconMastery\item_icon_48424_SummonReaper_0xBD28.bmp
0xBD29 ART\ART_IconMastery\item_icon_48425_EnchantedSummoning_0xBD29.bmp
0xBD2A ART\ART_IconMastery\item_icon_48426_AnticipateHit_0xBD2A.bmp
0xBD2B ART\ART_IconMastery\item_icon_48427_Warcry_0xBD2B.bmp
0xBD2C ART\ART_IconMastery\item_icon_48428_Intuition_0xBD2C.bmp
0xBD2D ART\ART_IconMastery\item_icon_48429_Rejuvinate_0xBD2D.bmp
0xBD2E ART\ART_IconMastery\item_icon_48430_HolyFist_0xBD2E.bmp
0xBD2F ART\ART_IconMastery\item_icon_48431_Shadow_0xBD2F.bmp
0xBD30 ART\ART_IconMastery\item_icon_48432_Toughness_0xBD30.bmp
0xBD31 ART\ART_IconMastery\item_icon_48433_FocusedEye_0xBD31.bmp
0xBD32 ART\ART_IconMastery\item_icon_48434_ElementalFury_0xBD32.bmp
0xBD33 ART\ART_IconMastery\item_icon_48435_CalledShot_0xBD33.bmp
0xBD34 ART\ART_IconMastery\item_icon_48436_Bodyguard_0xBD34.bmp
0xBD35 ART\ART_IconMastery\item_icon_48437_ShieldBash_0xBD35.bmp
0xBD36 ART\ART_IconMastery\item_icon_48438_Tolerance_0xBD36.bmp
0xBD37 ART\ART_IconMastery\item_icon_48439_InjectedStrike_0xBD37.bmp
0xBD38 ART\ART_IconMastery\item_icon_48440_Potency_0xBD38.bmp
0xBD39 ART\ART_IconMastery\item_icon_48441_Rampage_0xBD39.bmp
0xBD3A ART\ART_IconMastery\item_icon_48442_FistsOfFury_0xBD3A.bmp
0xBD3B ART\ART_IconMastery\item_icon_48443_Whispering_0xBD3B.bmp
0x2080 ART\ART_IconMagicSpell\item_icon_8320_Clumsy_0x2080.bmp
0x2081 ART\ART_IconMagicSpell\item_icon_8321_CreateFood_0x2081.bmp
0x2082 ART\ART_IconMagicSpell\item_icon_8322_Feeblemind_0x2082.bmp
0x2083 ART\ART_IconMagicSpell\item_icon_8323_Heal_0x2083.bmp
0x2084 ART\ART_IconMagicSpell\item_icon_8324_MagicArrow_0x2084.bmp
0x2085 ART\ART_IconMagicSpell\item_icon_8325_NightSight_0x2085.bmp
0x2086 ART\ART_IconMagicSpell\item_icon_8326_ReactiveArmor_0x2086.bmp
0x2087 ART\ART_IconMagicSpell\item_icon_8327_Weaken_0x2087.bmp
0x2088 ART\ART_IconMagicSpell\item_icon_8328_Agility_0x2088.bmp
0x2089 ART\ART_IconMagicSpell\item_icon_8329_Cunning_0x2089.bmp
0x208A ART\ART_IconMagicSpell\item_icon_8330_Cure_0x208A.bmp
0x208B ART\ART_IconMagicSpell\item_icon_8331_Harm_0x208B.bmp
0x208C ART\ART_IconMagicSpell\item_icon_8332_MagicTrap_0x208C.bmp
0x208D ART\ART_IconMagicSpell\item_icon_8333_MagicUnTrap_0x208D.bmp
0x208E ART\ART_IconMagicSpell\item_icon_8334_Protection_0x208E.bmp
0x208F ART\ART_IconMagicSpell\item_icon_8335_Strength_0x208F.bmp
0x2090 ART\ART_IconMagicSpell\item_icon_8336_Bless_0x2090.bmp
0x2091 ART\ART_IconMagicSpell\item_icon_8337_Fireball_0x2091.bmp
0x2092 ART\ART_IconMagicSpell\item_icon_8338_MagicLock_0x2092.bmp
0x2093 ART\ART_IconMagicSpell\item_icon_8339_Poison_0x2093.bmp
0x2094 ART\ART_IconMagicSpell\item_icon_8340_Telekinisis_0x2094.bmp
0x2095 ART\ART_IconMagicSpell\item_icon_8341_Teleport_0x2095.bmp
0x2096 ART\ART_IconMagicSpell\item_icon_8342_Unlock_0x2096.bmp
0x2097 ART\ART_IconMagicSpell\item_icon_8343_WallOfStone_0x2097.bmp
0x2098 ART\ART_IconMagicSpell\item_icon_8344_ArchCure_0x2098.bmp
0x2099 ART\ART_IconMagicSpell\item_icon_8345_ArchProtection_0x2099.bmp
0x209A ART\ART_IconMagicSpell\item_icon_8346_Curse_0x209A.bmp
0x209B ART\ART_IconMagicSpell\item_icon_8347_FireField_0x209B.bmp
0x209C ART\ART_IconMagicSpell\item_icon_8348_GreaterHeal_0x209C.bmp
0x209D ART\ART_IconMagicSpell\item_icon_8349_Lightning_0x209D.bmp
0x209E ART\ART_IconMagicSpell\item_icon_8350_ManaDrain_0x209E.bmp
0x209F ART\ART_IconMagicSpell\item_icon_8351_Recall_0x209F.bmp
0x20A0 ART\ART_IconMagicSpell\item_icon_8352_BladeSpirits_0x20A0.bmp
0x20A1 ART\ART_IconMagicSpell\item_icon_8353_DispelField_0x20A1.bmp
0x20A2 ART\ART_IconMagicSpell\item_icon_8354_Incognito_0x20A2.bmp
0x20A3 ART\ART_IconMagicSpell\item_icon_8355_MagicReflect_0x20A3.bmp
0x20A4 ART\ART_IconMagicSpell\item_icon_8356_MindBlast_0x20A4.bmp
0x20A5 ART\ART_IconMagicSpell\item_icon_8357_Paralyze_0x20A5.bmp
0x20A6 ART\ART_IconMagicSpell\item_icon_8358_PoisonField_0x20A6.bmp
0x20A7 ART\ART_IconMagicSpell\item_icon_8359_SummonCreature_0x20A7.bmp
0x20A8 ART\ART_IconMagicSpell\item_icon_8360_Dispel_0x20A8.bmp
0x20A9 ART\ART_IconMagicSpell\item_icon_8361_EnergyBolt_0x20A9.bmp
0x20AA ART\ART_IconMagicSpell\item_icon_8362_Explosion_0x20AA.bmp
0x20AB ART\ART_IconMagicSpell\item_icon_8363_Invisibility_0x20AB.bmp
0x20AC ART\ART_IconMagicSpell\item_icon_8364_Mark_0x20AC.bmp
0x20AD ART\ART_IconMagicSpell\item_icon_8365_MassCurse_0x20AD.bmp
0x20AE ART\ART_IconMagicSpell\item_icon_8366_ParalyzeField_0x20AE.bmp
0x20AF ART\ART_IconMagicSpell\item_icon_8367_Reveal_0x20AF.bmp
0x20B0 ART\ART_IconMagicSpell\item_icon_8368_ChainLightning_0x20B0.bmp
0x20B1 ART\ART_IconMagicSpell\item_icon_8369_EnergyField_0x20B1.bmp
0x20B2 ART\ART_IconMagicSpell\item_icon_8370_Flamestrike_0x20B2.bmp
0x20B3 ART\ART_IconMagicSpell\item_icon_8371_GateTravel_0x20B3.bmp
0x20B4 ART\ART_IconMagicSpell\item_icon_8372_ManaVampire_0x20B4.bmp
0x20B5 ART\ART_IconMagicSpell\item_icon_8373_MassDispel_0x20B5.bmp
0x20B6 ART\ART_IconMagicSpell\item_icon_8374_MeteorSwarm_0x20B6.bmp
0x20B7 ART\ART_IconMagicSpell\item_icon_8375_Polymorph_0x20B7.bmp
0x20B8 ART\ART_IconMagicSpell\item_icon_8376_Earthquake_0x20B8.bmp
0x20B9 ART\ART_IconMagicSpell\item_icon_8377_EnergyVortex_0x20B9.bmp
0x20BA ART\ART_IconMagicSpell\item_icon_8378_Resurrection_0x20BA.bmp
0x20BB ART\ART_IconMagicSpell\item_icon_8379_SummonAirElemental_0x20BB.bmp
0x20BC ART\ART_IconMagicSpell\item_icon_8380_SummonDaemon_0x20BC.bmp
0x20BD ART\ART_IconMagicSpell\item_icon_8381_SummonEarthElemental_0x20BD.bmp
0x20BE ART\ART_IconMagicSpell\item_icon_8382_SummonFireElemental_0x20BE.bmp
0x20BF ART\ART_IconMagicSpell\item_icon_8383_SummonWaterElemental_0x20BF.bmp
0x20C0 ART\ART_IconMagicSpell\item_icon_8384_Circle1_0x20C0.bmp
0x20C1 ART\ART_IconMagicSpell\item_icon_8385_Circle2_0x20C1.bmp
0x20C2 ART\ART_IconMagicSpell\item_icon_8386_Circle3_0x20C2.bmp
0x20C3 ART\ART_IconMagicSpell\item_icon_8387_Circle4_0x20C3.bmp
0x20C4 ART\ART_IconMagicSpell\item_icon_8388_Circle5_0x20C4.bmp
0x20C5 ART\ART_IconMagicSpell\item_icon_8389_Circle6_0x20C5.bmp
0x20C6 ART\ART_IconMagicSpell\item_icon_8390_Circle7_0x20C6.bmp
0x20C7 ART\ART_IconMagicSpell\item_icon_8391_Circle8_0x20C7.bmp
